"location","month","new_cases","mobility_change"
"Austria","02",0.1998,74.566
"Austria","03",36.4293225806452,-211.492903225806
"Austria","04",19.5120666666667,-312.618333333333
"Austria","05",4.58103225806452,-158.969032258065
"Austria","06",3.83056666666667,-21.0996666666667
"Austria","07",12.0488064516129,131.344838709677
"Austria","08",22.5933225806452,158.567741935484
"Austria","09",64.3062,74.3283333333333
"Austria","10",215.302032258065,-63.4754838709677
"Austria","11",657.054966666667,-222.175333333333
"Austria","12",280.657161290323,-229.231290322581
"Belgium","02",0.00330769230769231,100.401153846154
"Belgium","03",35.5547096774194,-199.008064516129
"Belgium","04",102.8047,-380.835
"Belgium","05",27.4495483870968,-209.732258064516
"Belgium","06",8.76076666666667,-20.788
"Belgium","07",20.3853870967742,107.318064516129
"Belgium","08",45.8836774193548,64.3412903225806
"Belgium","09",95.5337666666667,142.944
"Belgium","10",865.004032258065,-29.1070967741935
"Belgium","11",426.002066666667,-179.861666666667
"Belgium","12",192.472096774194,-159.76
"Bulgaria","03",2.39275,-259.497083333333
"Bulgaria","04",5.31066666666667,-315.689333333333
"Bulgaria","05",4.675,-131.651935483871
"Bulgaria","06",11.8779,18.9216666666667
"Bulgaria","07",31.1093870967742,173.472258064516
"Bulgaria","08",21.244064516129,267.468709677419
"Bulgaria","09",21.9088666666667,174.922
"Bulgaria","10",148.610612903226,58.8012903225806
"Bulgaria","11",443.533333333333,-109.441333333333
"Bulgaria","12",264.463903225806,-151.03935483871
"Croatia","02",0.2924,12.548
"Croatia","03",6.76551612903226,-191.75064516129
"Croatia","04",9.8167,-331.203333333333
"Croatia","05",1.33583870967742,-135.960967741935
"Croatia","06",4.31153333333333,223.502
"Croatia","07",18.56,933.29
"Croatia","08",40.310064516129,1205.62483870968
"Croatia","09",51.3486333333333,248.670333333333
"Croatia","10",257.128258064516,24.3654838709677
"Croatia","11",642.4753,-100.366333333333
"Croatia","12",647.437064516129,-172.892580645161
"Czechia","03",9.96451612903226,-201.662258064516
"Czechia","04",13.6148,-285.378666666667
"Czechia","05",4.77741935483871,-159.529677419355
"Czechia","06",8.3606,10.5846666666667
"Czechia","07",13.9165483870968,188.475483870968
"Czechia","08",24.2305483870968,202.116774193548
"Czechia","09",143.633333333333,94.4646666666667
"Czechia","10",796.253548387097,-141.794516129032
"Czechia","11",585.788666666667,-240.100666666667
"Czechia","12",588.480903225806,-184.917096774194
"Denmark","02",NA,31.2625
"Denmark","03",16.908064516129,-136.292580645161
"Denmark","04",36.3534666666667,-118.641333333333
"Denmark","05",13.9954193548387,14.8225806451613
"Denmark","06",6.3246,196.989
"Denmark","07",5.90341935483871,388.628387096774
"Denmark","08",18.8350967741935,348.857419354839
"Denmark","09",63.7006333333333,172.043
"Denmark","10",102.384612903226,78.3106451612903
"Denmark","11",196.465366666667,-30.6283333333333
"Denmark","12",462.880258064516,-142.849677419355
"Estonia","02",NA,125.6372
"Estonia","03",18.0921935483871,-118.250967741935
"Estonia","04",23.7208666666667,-237.312333333333
"Estonia","05",4.37716129032258,-31.7558064516129
"Estonia","06",3.01546666666667,270.19
"Estonia","07",1.82390322580645,489.542258064516
"Estonia","08",7.56283870967742,390.755806451613
"Estonia","09",25.0275,203.218
"Estonia","10",37.3029032258065,97.1996774193548
"Estonia","11",186.022966666667,-22.7366666666667
"Estonia","12",381.346548387097,-74.8038709677419
"Greece","02",0.096,73.57
"Greece","03",4.05425806451613,-206.238387096774
"Greece","04",4.08383333333333,-351.707666666667
"Greece","05",1.00896774193548,-96.7712903225806
"Greece","06",1.5734,45.5683333333333
"Greece","07",3.30535483870968,280.377419354839
"Greece","08",18.0740967741935,454.58
"Greece","09",26.0895333333333,254.203
"Greece","10",64.2991935483871,134.127096774194
"Greece","11",211.134433333333,-208.597333333333
"Greece","12",103.922838709677,-195.407096774194
"Hungary","03",NA,-138.451379310345
"Hungary","04",7.8776,-265.142
"Hungary","05",3.67645161290323,-147.720967741935
"Hungary","06",0.9628,2.825
"Hungary","07",1.16877419354839,129.706451612903
"Hungary","08",5.45635483870968,191.511290322581
"Hungary","09",70.1216333333333,56.119
"Hungary","10",163.154451612903,-20.628064516129
"Hungary","11",489.288733333333,-128.799333333333
"Hungary","12",351.927419354839,-164.544516129032
"Iceland","02",NA,81.4166666666667
"Iceland","03",107.195967741935,-42.7835483870968
"Iceland","04",64.6642666666667,-103.74
"Iceland","05",0.909344827586207,-60.44
"Iceland","06",1.75816666666667,-1.32833333333333
"Iceland","07",5.76622580645161,114.91
"Iceland","08",20.9854193548387,66.7264516129032
"Iceland","09",60.6593666666667,-40.6043333333333
"Iceland","10",202.008806451613,-82.57
"Iceland","11",51.4773,-86.731
"Iceland","12",34.2194838709677,-73.1438709677419
"Ireland","02",NA,58.734
"Ireland","03",21.1273870967742,-163.922903225806
"Ireland","04",117.306066666667,-454.242666666667
"Ireland","05",28.601,-351.247419354839
