id,name,number,comment
688,Serbia,1
591,Panama,2
44,Bahamas,3
68,Bolivia,4
414,Kuwait,5
400,Jordan,6
320,Guatemala,7
792,Turkey,8
862,Venezuela,9
222,El Salvador,10
604,Peru,11
32,Argentina,12
152,Chile,13
188,Costa Rica,14
170,Colombia,15
630,Puerto Rico,16
858,Uruguay,17
524,Nepal,18
